url,uid,desc
/topics/31.htm,31,Microsoft Edge / IE
/topics/33.htm,33,Microsoft SQL Server
/topics/34.htm,34,Microsoft DirectX
/topics/43.htm,43,MySQL
/topics/47.htm,47,Microsoft .NET
/topics/57.htm,57,Maxthon 傲游
/topics/61.htm,61,Microsoft Bing 必应
/topics/67.htm,67,mIRC
/topics/73.htm,73,Mandriva Linux
/topics/75.htm,75,McAfee
/topics/85.htm,85,Microsoft XBOX
/topics/86.htm,86,Microsoft Skype
/topics/153.htm,153,Microsoft 法律相关
/topics/155.htm,155,Microsoft 服务器相关
/topics/163.htm,163,Mozilla FireFox
/topics/177.htm,177,Microsoft TechNet / MSDN
/topics/179.htm,179,Microsoft Office for Mac
/topics/187.htm,187,MindSoft
/topics/207.htm,207,Microsoft 硬件
/topics/210.htm,210,MSN Shell
/topics/211.htm,211,Microsoft Office 2013
/topics/214.htm,214,Mozilla ThunderBird
/topics/223.htm,223,Microsoft Hyper-V Server
/topics/227.htm,227,Microsoft Groove / Win Media
/topics/251.htm,251,Microsoft 会议
/topics/263.htm,263,Microsoft Office
/topics/265.htm,265,Microsoft Office 2007
/topics/303.htm,303,媒体播放器 - PPTV
/topics/308.htm,308,Microsoft Zune
/topics/315.htm,315,媒体播放器 - KMPlayer
/topics/322.htm,322,媒体播放器 - ToToLook 偷偷看
/topics/329.htm,329,Microsoft Expression
/topics/340.htm,340,媒体播放器 - GOM Player
/topics/345.htm,345,媒体播放器 - UUSEE 悠视
/topics/359.htm,359,Microsoft Silverlight
/topics/361.htm,361,Microsoft Outlook / Hotmail
/topics/365.htm,365,媒体播放器 - Lame
/topics/23.htm,23,Nero
/topics/55.htm,55,NVIDIA
/topics/90.htm,90,Novell
/topics/123.htm,123,Net Transport 网络传送带
/topics/147.htm,147,NOKIA 诺基亚
/topics/182.htm,182,NVIDIA ForceWare
/topics/203.htm,203,Netease 网易即时通 / 易信 / 云信 / POPO
/topics/276.htm,276,NetEase 网易
/topics/330.htm,330,nod32 Antivirus
/topics/360.htm,360,nLite / vLite
/topics/442.htm,442,Nikon 尼康
/topics/459.htm,459,NetEase 网易有道
/topics/48.htm,48,Opera / 欧朋浏览器
/topics/160.htm,160,Oracle Java
/topics/212.htm,212,Outpost Firewall
/topics/244.htm,244,Oracle 甲骨文
/topics/283.htm,283,Open Source 开源
/topics/393.htm,393,OpenBSD
/topics/463.htm,463,oppo 欧珀
/topics/478.htm,478,Oray 花生壳
/topics/21.htm,21,PHP
/topics/107.htm,107,Palm
/topics/134.htm,134,Panda Software 熊猫反病毒
/topics/152.htm,152,PHILIPS 飞利浦
/topics/270.htm,270,Paint.NET
/topics/352.htm,352,PHPWind
/topics/452.htm,452,Panasonic 松下电器
/topics/208.htm,208,Qihoo 奇虎鲁大师 / Windows优化大师
/topics/300.htm,300,Qihoo 奇虎 360 安全卫士
/topics/489.htm,489,QY 群英 CC 企业通讯
/topics/490.htm,490,QY 群英网络
/topics/8.htm,8,软件和应用
/topics/37.htm,37,RedHat
/topics/174.htm,174,Rising 瑞星
/topics/337.htm,337,Raxco PerfectDisk
/topics/368.htm,368,RedHat Fedora
/topics/369.htm,369,人物 - Steve Jobs
/topics/375.htm,375,人物 - Steve Ballmer
/topics/388.htm,388,RSS
/topics/412.htm,412,Returnil Virtual System
/topics/428.htm,428,人物 - 马云
/topics/453.htm,453,人物
/topics/465.htm,465,软件 - Sogou 搜狗浏览器
/topics/468.htm,468,RFID / 增强现实 / 物联网
/topics/488.htm,488,人物 - Tim Cook
/topics/498.htm,498,软件 - Cheetah 猎豹浏览器
/topics/10.htm,10,视频网站 / 媒体播放器 - K-Lite (Mega)
/topics/25.htm,25,Symantec 赛门铁克
/topics/35.htm,35,视频网站 / 媒体播放器 - WinDVD
/topics/46.htm,46,视频网站 / 媒体播放器 - MPC
/topics/112.htm,112,SCO Unix
/topics/115.htm,115,Stardock
/topics/132.htm,132,视频网站 / 媒体播放器 - JetAudio
/topics/145.htm,145,视频网站 / 媒体播放器 - Real
/topics/151.htm,151,SuSE Linux / OpenSuSE
/topics/176.htm,176,视频网站 / 媒体播放器 - VLC
/topics/196.htm,196,视频网站 / 媒体播放器 - KazaA
/topics/197.htm,197,SONY 索尼
/topics/217.htm,217,Super Rabbit 超级兔子
/topics/220.htm,220,Shanda 盛大网络
/topics/221.htm,221,世界之窗浏览器
/topics/224.htm,224,视频网站 / 媒体播放器 - Monkey's Audio
/topics/226.htm,226,Seagate 希捷
/topics/230.htm,230,Smartisan 锤子科技
/topics/243.htm,243,手机
/topics/267.htm,267,Serv-U
/topics/302.htm,302,视频网站 / 媒体播放器 - PPS
/topics/305.htm,305,视点·观察
/topics/371.htm,371,Samsung 三星
/topics/385.htm,385,Sogou 搜狗
/topics/455.htm,455,SNS 社交网络
/topics/457.htm,457,SHARP 夏普
/topics/502.htm,502,手机 - 读者手机
/topics/510.htm,510,手机 - UMI 优米
/topics/511.htm,511,手机 - IUNI
/topics/18.htm,18,Tencent 腾讯 QQ
/topics/138.htm,138,通信技术
/topics/173.htm,173,Tencent 腾讯其他产品
/topics/204.htm,204,TuneUp Utilities
/topics/237.htm,237,Trend Micro 趋势科技
/topics/274.htm,274,Tencent 腾讯
/topics/278.htm,278,TweakAssist 全能助手
/topics/341.htm,341,TuoTu 脱兔
/topics/344.htm,344,Total Commander
/topics/372.htm,372,通信运营商
/topics/422.htm,422,the United States 美国
/topics/437.htm,437,通信技术 - 4G/LTE
/topics/482.htm,482,Top10 十大
/topics/68.htm,68,UltraEdit
/topics/225.htm,225,UltraISO
/topics/317.htm,317,Ubuntu
/topics/339.htm,339,uTorrent
/topics/446.htm,446,USB 通用串行总线
/topics/458.htm,458,UC 优视浏览器
/topics/461.htm,461,Updrv 驱动人生
/topics/471.htm,471,UM 悠米视频聊天
/topics/474.htm,474,unispim 紫光华宇拼音
/topics/16.htm,16,VIA 威盛
/topics/60.htm,60,VMware
/topics/231.htm,231,VBulletin
/topics/410.htm,410,Vista优化大师
/topics/11.htm,11,Windows
/topics/12.htm,12,Windows XP
/topics/14.htm,14,Windows Server 2003
/topics/17.htm,17,Windows 2000
/topics/29.htm,29,Windows Small Business
/topics/41.htm,41,Windows 次世代
/topics/69.htm,69,WinACE
/topics/76.htm,76,Windows 安全
/topics/92.htm,92,WiFi
/topics/94.htm,94,Windows + IE
/topics/98.htm,98,WinRAR
/topics/128.htm,128,网络应用 / Web Apps
/topics/129.htm,129,Windows 通信网络
/topics/131.htm,131,Windows 存储
/topics/139.htm,139,Windows Media Center
/topics/146.htm,146,WinZip
/topics/180.htm,180,Windows Live Messenger
/topics/184.htm,184,Windows Phone
/topics/185.htm,185,Windows 个性化
/topics/190.htm,190,Windows X
/topics/241.htm,241,Windows Server
/topics/247.htm,247,Windows Update
/topics/248.htm,248,Windows Defender
/topics/254.htm,254,Windows Vista
/topics/259.htm,259,Windows Essentials
/topics/264.htm,264,Windows Server 2008
/topics/266.htm,266,Wikipedia 维基百科
/topics/268.htm,268,Windows Live
/topics/285.htm,285,Widgets 小工具 / 侧边栏
/topics/320.htm,320,Windows Virtual PC
/topics/332.htm,332,Windows 7
/topics/334.htm,334,Windows Home Server
/topics/335.htm,335,WineHQ
/topics/349.htm,349,WordPress
/topics/404.htm,404,WinPatrol 看门狗
/topics/406.htm,406,WinMount
/topics/427.htm,427,Windows 画图 / Fresh Paint
/topics/480.htm,480,Windows 8
/topics/501.htm,501,网络应用 - 115
/topics/506.htm,506,Windows 8.1
/topics/531.htm,531,Windows 10
/topics/56.htm,56,系统工具
/topics/168.htm,168,XnView
/topics/318.htm,318,XunLei 迅雷
/topics/487.htm,487,Xiaomi 小米科技
/topics/507.htm,507,系统工具 - Magican Mac 优化
/topics/39.htm,39,游戏
/topics/70.htm,70,硬件
/topics/91.htm,91,Yahoo! 雅虎
/topics/144.htm,144,硬件 - 上网本 / 平板电脑 / 超极本
/topics/451.htm,451,硬件 - 摄影器材
/topics/467.htm,467,硬件 - RockChip 瑞芯微电子
/topics/473.htm,473,Yunduan 边锋云端
/topics/485.htm,485,应用 - Tongbu 同步助手
/topics/491.htm,491,应用 - TouchPal 触宝
/topics/492.htm,492,硬件 - Ramos 蓝魔
/topics/494.htm,494,应用 - Shuame 刷机精灵
/topics/495.htm,495,应用 - Camera 360
/topics/496.htm,496,应用 - MyMoney 金蝶随手记
/topics/499.htm,499,应用 - OnekeyROM 甜椒
/topics/500.htm,500,应用 - Shendu 深度
/topics/503.htm,503,应用 - PP助手
/topics/504.htm,504,应用 - Shuame Root 精灵
/topics/508.htm,508,应用 - 刷机大师
/topics/513.htm,513,硬件 - Kaiboer 开博尔
/topics/515.htm,515,应用 - 卓大师一键 Root
/topics/523.htm,523,应用 - 卓大师 字体大师
/topics/527.htm,527,应用 - 飞兔云传
/topics/529.htm,529,硬件 - iMagic
/topics/74.htm,74,Zonealarm
/topics/517.htm,517,ZTE 中兴红牛
/topics/519.htm,519,ZTE nubia 努比亚
/topics/521.htm,521,ZTE 中兴
